Weather,Darkeness: No street lighting,Darkness: Street lighting unknown,Darkness: Street lights present and lit,Darkness: Street lights present but unlit,Daylight: Street light present
Fine with high winds,8.584962501,5.672425342,10.10590851,5.247927513,11.74651432
Fine without high winds,13.90726625,12.25443815,15.99795126,10.80976813,18.12403546
Fog or mist,9.068778278,5.754887502,9.157346935,4.700439718,10.25620869
Other,9.769837844,6.906890596,11.1221809,6.266786541,12.27990072
Raining with high winds,9.960001932,6.459431619,11.30320995,6.491853096,11.73935871
Raining without high winds,11.97978243,9.4325419,14.04575966,8.891783703,15.09271585
Snowing with high winds,7.475733431,3,6.906890596,3,8.710806434
Snowing without high winds,8.64385619,5.906890596,9.607330314,4.169925001,10.50183718
Unknown,7.832890014,9.805743872,10.52552081,5.169925001,12.44656641
